sensor,indice_balanza,masa_g,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s
balanza,187,,Error desde Arduino: HX711 not found.,93.94078170000103,2026-05-28T12:42:55.873,2026-05-28T12:58:25.873,-930
balanza,188,-1.1,,94.93316180000147,2026-05-28T12:42:56.865,2026-05-28T12:58:26.865,-930
balanza,189,,Error desde Arduino: HX711 not found.,94.95630580000034,2026-05-28T12:42:56.886,2026-05-28T12:58:26.886,-930
balanza,190,-1.11,,95.9485480000003,2026-05-28T12:42:57.876,2026-05-28T12:58:27.876,-930
balanza,191,,Error desde Arduino: HX711 not found.,95.9716540999998,2026-05-28T12:42:57.900,2026-05-28T12:58:27.900,-930
balanza,192,-1.17,,96.96408590000101,2026-05-28T12:42:58.893,2026-05-28T12:58:28.893,-930
balanza,193,,Error desde Arduino: HX711 not found.,96.9873733000004,2026-05-28T12:42:58.919,2026-05-28T12:58:28.919,-930
balanza,194,-1.17,,97.97959059999994,2026-05-28T12:42:59.910,2026-05-28T12:58:29.910,-930
balanza,195,,Error desde Arduino: HX711 not found.,98.00277430000097,2026-05-28T12:42:59.926,2026-05-28T12:58:29.926,-930
balanza,196,-1.16,,98.9949099000005,2026-05-28T12:43:00.926,2026-05-28T12:58:30.926,-930
balanza,197,,Error desde Arduino: HX711 not found.,99.01803550000113,2026-05-28T12:43:00.943,2026-05-28T12:58:30.943,-930
balanza,198,-1.17,,100.01032440000017,2026-05-28T12:43:01.942,2026-05-28T12:58:31.942,-930
balanza,199,,Error desde Arduino: HX711 not found.,100.03346050000073,2026-05-28T12:43:01.965,2026-05-28T12:58:31.965,-930
balanza,200,-1.18,,101.02577980000024,2026-05-28T12:43:02.953,2026-05-28T12:58:32.953,-930
balanza,201,,Error desde Arduino: HX711 not found.,101.04899830000068,2026-05-28T12:43:02.976,2026-05-28T12:58:32.976,-930
balanza,202,-1.16,,102.0412225,2026-05-28T12:43:03.973,2026-05-28T12:58:33.973,-930
balanza,203,,Error desde Arduino: HX711 not found.,102.0644484000004,2026-05-28T12:43:03.993,2026-05-28T12:58:33.993,-930
balanza,204,-1.2,,103.05664620000061,2026-05-28T12:43:04.986,2026-05-28T12:58:34.986,-930
balanza,205,,Error desde Arduino: HX711 not found.,103.07997560000149,2026-05-28T12:43:05.009,2026-05-28T12:58:35.009,-930
balanza,206,-1.24,,104.07207639999979,2026-05-28T12:43:06.003,2026-05-28T12:58:36.003,-930
balanza,207,-1.26,,104.08414600000106,2026-05-28T12:43:06.009,2026-05-28T12:58:36.009,-930
balanza,208,,Error desde Arduino: HX711 not found.,104.10717540000041,2026-05-28T12:43:06.030,2026-05-28T12:58:36.030,-930
balanza,209,-1.19,,105.09958370000095,2026-05-28T12:43:07.030,2026-05-28T12:58:37.030,-930
balanza,210,,Error desde Arduino: HX711 not found.,105.12272520000079,2026-05-28T12:43:07.053,2026-05-28T12:58:37.053,-930
balanza,211,-1.25,,106.11496390000138,2026-05-28T12:43:08.043,2026-05-28T12:58:38.043,-930
balanza,212,,Error desde Arduino: HX711 not found.,106.13802730000134,2026-05-28T12:43:08.070,2026-05-28T12:58:38.070,-930
balanza,213,-1.31,,107.13042910000149,2026-05-28T12:43:09.063,2026-05-28T12:58:39.063,-930
balanza,214,,Error desde Arduino: HX711 not found.,107.15361330000087,2026-05-28T12:43:09.086,2026-05-28T12:58:39.086,-930
balanza,215,-1.27,,108.1458633000002,2026-05-28T12:43:10.078,2026-05-28T12:58:40.078,-930
balanza,216,,Error desde Arduino: HX711 not found.,108.16916250000031,2026-05-28T12:43:10.093,2026-05-28T12:58:40.093,-930
balanza,217,-1.29,,109.16133850000006,2026-05-28T12:43:11.093,2026-05-28T12:58:41.093,-930
balanza,218,,Error desde Arduino: HX711 not found.,109.18453910000062,2026-05-28T12:43:11.109,2026-05-28T12:58:41.109,-930
balanza,219,-1.27,,110.17679970000063,2026-05-28T12:43:12.109,2026-05-28T12:58:42.109,-930
balanza,220,,Error desde Arduino: HX711 not found.,110.19984520000071,2026-05-28T12:43:12.126,2026-05-28T12:58:42.126,-930
balanza,221,-1.29,,111.1923153000007,2026-05-28T12:43:13.119,2026-05-28T12:58:43.119,-930
balanza,222,,Error desde Arduino: HX711 not found.,111.21539130000019,2026-05-28T12:43:13.143,2026-05-28T12:58:43.143,-930
balanza,223,-1.37,,112.20774130000063,2026-05-28T12:43:14.136,2026-05-28T12:58:44.136,-930
balanza,224,,Error desde Arduino: HX711 not found.,112.23080389999996,2026-05-28T12:43:14.163,2026-05-28T12:58:44.163,-930
balanza,225,-1.33,,113.22318199999972,2026-05-28T12:43:15.153,2026-05-28T12:58:45.153,-930
balanza,226,,Error desde Arduino: HX711 not found.,113.24642950000089,2026-05-28T12:43:15.176,2026-05-28T12:58:45.176,-930
balanza,227,-1.35,,114.23867500000051,2026-05-28T12:43:16.170,2026-05-28T12:58:46.170,-930
balanza,228,,Error desde Arduino: HX711 not found.,114.2617425999997,2026-05-28T12:43:16.193,2026-05-28T12:58:46.193,-930
balanza,229,-1.37,,115.25418420000096,2026-05-28T12:43:17.186,2026-05-28T12:58:47.186,-930
balanza,230,,Error desde Arduino: HX711 not found.,115.27725989999999,2026-05-28T12:43:17.209,2026-05-28T12:58:47.209,-930
