ind_hp,error_hp,voltaje_V,t_hp,fecha_hora_corregida_hp,fecha_hora_pc_hp,sensor_hp,tiempo_s,ind_bal,error_bal,t_bal,fecha_hora_corregida_bal,fecha_hora_pc_bal,masa_g,sensor_bal,delta_t_s
76,,8.9202e-05,19.214577399999826,2026-05-28T08:37:19.357,2026-05-28T08:52:49.357,multimetro,19.214577399999826,35.0,Error Arduino: HX711 not found.,19.138250799999923,2026-05-28T08:37:19.282,2026-05-28T08:52:49.282,,balanza,-0.0763265999999021
77,,8.8784e-05,19.46491919999994,2026-05-28T08:37:19.601,2026-05-28T08:52:49.601,multimetro,19.46491919999994,35.0,Error Arduino: HX711 not found.,19.138250799999923,2026-05-28T08:37:19.282,2026-05-28T08:52:49.282,,balanza,-0.32666840000001685
78,,8.8103e-05,19.714668200000006,2026-05-28T08:37:19.857,2026-05-28T08:52:49.857,multimetro,19.714668200000006,36.0,,20.130838399999902,2026-05-28T08:37:20.274,2026-05-28T08:52:50.274,-0.08,balanza,0.4161701999998968
79,,8.8836e-05,19.9648866,2026-05-28T08:37:20.104,2026-05-28T08:52:50.104,multimetro,19.9648866,36.0,,20.130838399999902,2026-05-28T08:37:20.274,2026-05-28T08:52:50.274,-0.08,balanza,0.1659517999999025
80,,8.9318e-05,20.21451409999986,2026-05-28T08:37:20.357,2026-05-28T08:52:50.357,multimetro,20.21451409999986,37.0,Error Arduino: HX711 not found.,20.154068499999994,2026-05-28T08:37:20.298,2026-05-28T08:52:50.298,,balanza,-0.06044559999986632
81,,8.9024e-05,20.464852099999916,2026-05-28T08:37:20.608,2026-05-28T08:52:50.608,multimetro,20.464852099999916,37.0,Error Arduino: HX711 not found.,20.154068499999994,2026-05-28T08:37:20.298,2026-05-28T08:52:50.298,,balanza,-0.31078359999992244
82,,8.7998e-05,20.71516039999983,2026-05-28T08:37:20.859,2026-05-28T08:52:50.859,multimetro,20.71516039999983,38.0,,21.146346699999867,2026-05-28T08:37:21.291,2026-05-28T08:52:51.291,-0.03,balanza,0.43118630000003577
83,,8.804e-05,20.964606399999866,2026-05-28T08:37:21.108,2026-05-28T08:52:51.108,multimetro,20.964606399999866,38.0,,21.146346699999867,2026-05-28T08:37:21.291,2026-05-28T08:52:51.291,-0.03,balanza,0.1817403000000013
84,,8.9024e-05,21.214790399999856,2026-05-28T08:37:21.358,2026-05-28T08:52:51.358,multimetro,21.214790399999856,39.0,Error Arduino: HX711 not found.,21.169378099999903,2026-05-28T08:37:21.314,2026-05-28T08:52:51.314,,balanza,-0.045412299999952666
85,,8.9213e-05,21.464913199999955,2026-05-28T08:37:21.609,2026-05-28T08:52:51.609,multimetro,21.464913199999955,39.0,Error Arduino: HX711 not found.,21.169378099999903,2026-05-28T08:37:21.314,2026-05-28T08:52:51.314,,balanza,-0.2955351000000519
86,,8.8302e-05,21.71492739999985,2026-05-28T08:37:21.858,2026-05-28T08:52:51.858,multimetro,21.71492739999985,40.0,,22.161976200000026,2026-05-28T08:37:22.298,2026-05-28T08:52:52.298,-0.02,balanza,0.4470488000001751
87,,8.7799e-05,21.96481670000003,2026-05-28T08:37:22.109,2026-05-28T08:52:52.109,multimetro,21.96481670000003,40.0,,22.161976200000026,2026-05-28T08:37:22.298,2026-05-28T08:52:52.298,-0.02,balanza,0.19715949999999793
88,,8.8606e-05,22.214862899999844,2026-05-28T08:37:22.358,2026-05-28T08:52:52.358,multimetro,22.214862899999844,41.0,Error Arduino: HX711 not found.,22.185150199999953,2026-05-28T08:37:22.324,2026-05-28T08:52:52.324,,balanza,-0.0297126999998909
89,,8.9014e-05,22.46517289999997,2026-05-28T08:37:22.609,2026-05-28T08:52:52.609,multimetro,22.46517289999997,41.0,Error Arduino: HX711 not found.,22.185150199999953,2026-05-28T08:37:22.324,2026-05-28T08:52:52.324,,balanza,-0.2800227000000177
90,,8.8501e-05,22.714962000000014,2026-05-28T08:37:22.859,2026-05-28T08:52:52.859,multimetro,22.714962000000014,42.0,,23.177518999999847,2026-05-28T08:37:23.316,2026-05-28T08:52:53.316,-0.03,balanza,0.46255699999983335
91,,8.8239e-05,22.964914399999998,2026-05-28T08:37:23.100,2026-05-28T08:52:53.100,multimetro,22.964914399999998,42.0,,23.177518999999847,2026-05-28T08:37:23.316,2026-05-28T08:52:53.316,-0.03,balanza,0.2126045999998496
92,,8.8752e-05,23.21489120000001,2026-05-28T08:37:23.357,2026-05-28T08:52:53.357,multimetro,23.21489120000001,43.0,Error Arduino: HX711 not found.,23.200873099999853,2026-05-28T08:37:23.345,2026-05-28T08:52:53.345,,balanza,-0.014018100000157574
93,,8.8941e-05,23.464699899999914,2026-05-28T08:37:23.601,2026-05-28T08:52:53.601,multimetro,23.464699899999914,43.0,Error Arduino: HX711 not found.,23.200873099999853,2026-05-28T08:37:23.345,2026-05-28T08:52:53.345,,balanza,-0.26382680000006076
94,,8.8637e-05,23.714700099999845,2026-05-28T08:37:23.857,2026-05-28T08:52:53.857,multimetro,23.714700099999845,44.0,,24.193232500000022,2026-05-28T08:37:24.331,2026-05-28T08:52:54.331,-0.05,balanza,0.4785324000001765
95,,8.804e-05,23.965038899999854,2026-05-28T08:37:24.108,2026-05-28T08:52:54.108,multimetro,23.965038899999854,44.0,,24.193232500000022,2026-05-28T08:37:24.331,2026-05-28T08:52:54.331,-0.05,balanza,0.22819360000016786
96,,8.8637e-05,24.21455939999987,2026-05-28T08:37:24.359,2026-05-28T08:52:54.359,multimetro,24.21455939999987,45.0,Error Arduino: HX711 not found.,24.216348400000015,2026-05-28T08:37:24.360,2026-05-28T08:52:54.360,,balanza,0.0017890000001443696
97,,8.9087e-05,24.464651799999956,2026-05-28T08:37:24.607,2026-05-28T08:52:54.607,multimetro,24.464651799999956,45.0,Error Arduino: HX711 not found.,24.216348400000015,2026-05-28T08:37:24.360,2026-05-28T08:52:54.360,,balanza,-0.24830339999994067
98,,8.8784e-05,24.715114200000016,2026-05-28T08:37:24.858,2026-05-28T08:52:54.858,multimetro,24.715114200000016,46.0,,25.210053499999958,2026-05-28T08:37:25.354,2026-05-28T08:52:55.354,432.67,balanza,0.4949392999999418
99,,8.8312e-05,24.96505819999993,2026-05-28T08:37:25.109,2026-05-28T08:52:55.109,multimetro,24.96505819999993,46.0,,25.210053499999958,2026-05-28T08:37:25.354,2026-05-28T08:52:55.354,432.67,balanza,0.24499530000002778
100,,8.8386e-05,25.214811399999917,2026-05-28T08:37:25.359,2026-05-28T08:52:55.359,multimetro,25.214811399999917,46.0,,25.210053499999958,2026-05-28T08:37:25.354,2026-05-28T08:52:55.354,432.67,balanza,-0.004757899999958681
101,,8.871e-05,25.464770999999928,2026-05-28T08:37:25.608,2026-05-28T08:52:55.608,multimetro,25.464770999999928,47.0,Error Arduino: HX711 not found.,25.23321039999996,2026-05-28T08:37:25.374,2026-05-28T08:52:55.374,,balanza,-0.23156059999996614
102,,8.8878e-05,25.714615699999968,2026-05-28T08:37:25.859,2026-05-28T08:52:55.859,multimetro,25.714615699999968,47.0,Error Arduino: HX711 not found.,25.23321039999996,2026-05-28T08:37:25.374,2026-05-28T08:52:55.374,,balanza,-0.4814053000000058
103,,8.8396e-05,25.964728799999875,2026-05-28T08:37:26.109,2026-05-28T08:52:56.109,multimetro,25.964728799999875,48.0,,26.226910899999893,2026-05-28T08:37:26.364,2026-05-28T08:52:56.364,628.13,balanza,0.2621821000000182
