indice,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc,masa_g,sensor,voltaje_V
155,,79.21290799999997,2026-05-28T08:42:48.343,2026-05-28T08:58:18.343,-0.77,balanza,
156,Error Arduino: HX711 not found.,79.23627340000007,2026-05-28T08:42:48.367,2026-05-28T08:58:18.367,,balanza,
157,,80.22846929999992,2026-05-28T08:42:49.357,2026-05-28T08:58:19.357,-0.78,balanza,
158,Error Arduino: HX711 not found.,80.25183829999992,2026-05-28T08:42:49.383,2026-05-28T08:58:19.383,,balanza,
40,,80.61511079999991,2026-05-28T08:42:49.740,2026-05-28T08:58:19.740,,multimetro,1.1559e-05
159,,81.24420250000003,2026-05-28T08:42:50.374,2026-05-28T08:58:20.374,-0.71,balanza,
160,Error Arduino: HX711 not found.,81.2673764000001,2026-05-28T08:42:50.397,2026-05-28T08:58:20.397,,balanza,
161,,82.25989329999993,2026-05-28T08:42:51.383,2026-05-28T08:58:21.383,-0.73,balanza,
162,Error Arduino: HX711 not found.,82.2829021,2026-05-28T08:42:51.413,2026-05-28T08:58:21.413,,balanza,
41,,82.62453860000005,2026-05-28T08:42:51.747,2026-05-28T08:58:21.747,,multimetro,1.0009e-05
163,,83.27560870000002,2026-05-28T08:42:52.406,2026-05-28T08:58:22.406,-0.71,balanza,
164,,83.28786630000013,2026-05-28T08:42:52.413,2026-05-28T08:58:22.413,-0.75,balanza,
165,Error Arduino: HX711 not found.,83.31096950000006,2026-05-28T08:42:52.440,2026-05-28T08:58:22.440,,balanza,
166,,84.30349449999994,2026-05-28T08:42:53.430,2026-05-28T08:58:23.430,-0.74,balanza,
167,Error Arduino: HX711 not found.,84.32682109999996,2026-05-28T08:42:53.456,2026-05-28T08:58:23.456,,balanza,
42,,84.63463120000006,2026-05-28T08:42:53.766,2026-05-28T08:58:23.766,,multimetro,1.2386e-05
168,,85.31904570000006,2026-05-28T08:42:54.450,2026-05-28T08:58:24.450,-0.76,balanza,
169,Error Arduino: HX711 not found.,85.34211260000006,2026-05-28T08:42:54.472,2026-05-28T08:58:24.472,,balanza,
170,,86.33461310000007,2026-05-28T08:42:55.465,2026-05-28T08:58:25.465,-0.8,balanza,
171,Error Arduino: HX711 not found.,86.35783740000011,2026-05-28T08:42:55.480,2026-05-28T08:58:25.480,,balanza,
43,,86.65152839999996,2026-05-28T08:42:55.780,2026-05-28T08:58:25.780,,multimetro,9.527e-06
172,,87.35012989999996,2026-05-28T08:42:56.480,2026-05-28T08:58:26.480,-0.75,balanza,
173,Error Arduino: HX711 not found.,87.37336060000007,2026-05-28T08:42:56.504,2026-05-28T08:58:26.504,,balanza,
174,,88.36571170000002,2026-05-28T08:42:57.497,2026-05-28T08:58:27.497,-0.73,balanza,
175,Error Arduino: HX711 not found.,88.38880280000012,2026-05-28T08:42:57.513,2026-05-28T08:58:27.513,,balanza,
44,,88.65483199999994,2026-05-28T08:42:57.781,2026-05-28T08:58:27.781,,multimetro,1.0909e-05
176,,89.38134319999995,2026-05-28T08:42:58.510,2026-05-28T08:58:28.510,-0.74,balanza,
177,Error Arduino: HX711 not found.,89.40467740000008,2026-05-28T08:42:58.530,2026-05-28T08:58:28.530,,balanza,
178,,90.39698799999996,2026-05-28T08:42:59.523,2026-05-28T08:58:29.523,-0.81,balanza,
179,Error Arduino: HX711 not found.,90.42013999999995,2026-05-28T08:42:59.547,2026-05-28T08:58:29.547,,balanza,
45,,90.66507290000004,2026-05-28T08:42:59.792,2026-05-28T08:58:29.792,,multimetro,1.0407e-05
180,,91.41265739999994,2026-05-28T08:43:00.540,2026-05-28T08:58:30.540,-0.79,balanza,
181,Error Arduino: HX711 not found.,91.43595030000006,2026-05-28T08:43:00.567,2026-05-28T08:58:30.567,,balanza,
182,,92.42828299999996,2026-05-28T08:43:01.556,2026-05-28T08:58:31.556,-0.78,balanza,
183,Error Arduino: HX711 not found.,92.45157480000012,2026-05-28T08:43:01.582,2026-05-28T08:58:31.582,,balanza,
46,,92.67502409999997,2026-05-28T08:43:01.804,2026-05-28T08:58:31.804,,multimetro,1.2805e-05
184,,93.44383760000005,2026-05-28T08:43:02.575,2026-05-28T08:58:32.575,-0.76,balanza,
185,Error Arduino: HX711 not found.,93.46721070000012,2026-05-28T08:43:02.597,2026-05-28T08:58:32.597,,balanza,
186,,94.45955010000011,2026-05-28T08:43:03.589,2026-05-28T08:58:33.589,-0.78,balanza,
187,Error Arduino: HX711 not found.,94.48272270000007,2026-05-28T08:43:03.613,2026-05-28T08:58:33.613,,balanza,
47,,94.68470120000006,2026-05-28T08:43:03.815,2026-05-28T08:58:33.815,,multimetro,1.3066e-05
